iter	Passed	Remaining
679	31198	60562
680	31241	60509
681	31283	60456
682	31328	60409
683	31372	60360
684	31420	60318
685	31467	60273
686	31514	60230
687	31556	60177
688	31605	60136
689	31653	60095
690	31696	60044
691	31744	60002
692	31786	59948
693	31826	59892
694	31869	59840
695	31913	59792
696	31955	59738
697	31999	59689
698	32049	59650
699	32094	59604
700	32142	59561
701	32185	59510
702	32230	59463
703	32273	59412
704	32316	59361
705	32365	59320
706	32407	59269
707	32459	59233
708	32501	59180
709	32550	59140
710	32595	59094
711	32646	59056
712	32688	59004
713	32733	58956
714	32778	58909
715	32827	58869
716	32871	58820
717	32919	58777
718	32963	58729
719	33007	58680
720	33050	58629
721	33097	58585
722	33141	58535
723	33188	58491
724	33232	58443
725	33279	58399
726	33323	58350
727	33364	58295
728	33411	58252
729	33455	58203
730	33502	58160
731	33544	58106
732	33593	58066
733	33637	58017
734	33683	57972
735	33727	57924
736	33771	57874
737	33817	57828
738	33865	57787
739	33910	57738
740	33955	57692
741	34002	57648
742	34043	57594
743	34092	57554
744	34140	57511
745	34185	57463
746	34228	57414
747	34271	57362
748	34316	57316
749	34364	57274
750	34406	57221
751	34450	57173
752	34501	57135
753	34545	57087
754	34594	57045
755	34640	57000
756	34685	56954
757	34733	56911
758	34783	56872
759	34828	56824
760	34872	56777
761	34916	56727
762	34961	56680
763	35030	56672
764	35079	56631
765	35122	56581
766	35170	56538
767	35213	56488
768	35261	56446
769	35304	56395
770	35347	56345
771	35391	56296
772	35447	56266
773	35494	56222
774	35542	56180
775	35593	56142
776	35640	56098
777	35684	56048
778	35725	55996
779	35775	55956
780	35822	55911
781	35879	55883
782	35948	55873
783	35991	55824
784	36038	55778
785	36082	55730
786	36128	55685
787	36170	55632
788	36220	55592
789	36271	55554
790	36320	55513
791	36365	55466
792	36410	55419
793	36452	55366
794	36497	55320
795	36545	55276
796	36592	55233
797	36641	55192
798	36682	55138
799	36729	55093
800	36777	55051
801	36818	54997
802	36862	54950
803	36905	54899
804	36955	54859
805	37006	54820
806	37060	54786
807	37103	54737
808	37151	54693
809	37193	54642
810	37243	54601
811	37287	54553
812	37330	54503
813	37372	54451
814	37415	54401
815	37461	54355
816	37507	54310
817	37567	54284
818	37617	54244
819	37662	54196
820	37709	54152
821	37754	54105
822	37802	54063
823	37845	54011
824	37885	53958
825	37934	53917
826	37979	53869
827	38027	53825
828	38071	53777
829	38114	53727
830	38165	53689
831	38209	53640
832	38251	53589
833	38298	53544
834	38347	53502
835	38394	53458
836	38440	53412
837	38487	53368
838	38536	53326
839	38577	53273
840	38632	53240
841	38687	53206
842	38738	53168
843	38791	53131
844	38838	53087
845	38886	53043
846	38937	53005
847	38985	52961
848	39034	52919
849	39096	52894
850	39146	52855
851	39193	52809
852	39240	52765
853	39313	52755
854	39362	52713
855	39407	52665
856	39454	52621
857	39510	52588
858	39562	52549
859	39610	52506
860	39664	52470
861	39711	52426
862	39772	52400
863	39825	52363
864	39872	52317
865	39924	52279
866	39969	52231
867	40011	52181
868	40060	52138
869	40105	52091
870	40148	52040
871	40190	51990
872	40234	51940
873	40276	51889
874	40320	51841
875	40364	51791
876	40408	51742
877	40448	51689
878	40497	51646
879	40541	51597
880	40593	51559
881	40639	51513
882	40686	51469
883	40732	51422
884	40778	51376
885	40831	51338
886	40884	51300
887	40961	51293
888	41007	51248
889	41056	51205
890	41107	51165
891	41164	51132
892	41210	51085
893	41256	51040
894	41305	50997
895	41349	50948
896	41394	50900
897	41436	50849
898	41486	50808
899	41534	50764
900	41584	50722
901	41627	50672
902	41679	50633
903	41719	50580
904	41763	50531
905	41806	50481
906	41849	50431
907	41892	50381
908	41935	50331
909	41978	50282
910	42025	50237
911	42071	50190
912	42113	50139
913	42157	50090
914	42206	50048
915	42251	50000
916	42294	49950
917	42342	49907
918	42394	49867
919	42440	49821
920	42486	49774
921	42535	49731
922	42579	49684
923	42627	49639
924	42673	49592
925	42725	49553
926	42770	49506
927	42814	49458
928	42856	49407
929	42899	49357
930	42942	49307
931	42986	49259
932	43031	49211
933	43077	49165
934	43120	49115
935	43165	49068
936	43207	49017
937	43249	48967
938	43295	48920
939	43337	48869
940	43380	48820
941	43427	48775
942	43473	48728
943	43515	48678
944	43563	48634
945	43606	48585
946	43653	48539
947	43698	48492
948	43743	48445
949	43787	48396
950	43831	48348
951	43884	48309
952	43928	48261
953	43969	48209
954	44013	48161
955	44061	48117
956	44109	48073
957	44155	48027
958	44203	47983
959	44251	47938
960	44350	47950
961	44403	47911
962	44456	47872
963	44510	47835
964	44560	47792
965	44611	47751
966	44657	47705
967	44706	47662
968	44753	47616
969	44848	47622
970	44894	47576
971	44944	47533
972	44988	47485
973	45043	47447
974	45086	47398
975	45130	47350
976	45179	47306
977	45224	47258
978	45267	47209
979	45316	47165
980	45375	47133
981	45423	47089
982	45468	47041
983	45518	46998
984	45562	46950
985	45608	46903
986	45650	46853
987	45698	46808
988	45741	46758
989	45789	46714
990	45842	46675
991	45898	46639
992	46006	46655
993	46051	46607
994	46095	46558
995	46141	46511
996	46191	46469
997	46237	46422
998	46283	46375
999	46326	46326
1000	46374	46281
1001	46417	46231
1002	46465	46187
1003	46512	46142
1004	46557	46094
1005	46605	46049
1006	46656	46007
1007	46705	45964
1008	46750	45916
1009	46794	45867
1010	46843	45823
1011	46889	45777
1012	46941	45736
1013	46986	45689
1014	47029	45639
1015	47070	45587
1016	47112	45537
1017	47154	45487
1018	47205	45445
1019	47252	45399
1020	47296	45350
1021	47339	45301
1022	47389	45258
1023	47433	45210
1024	47477	45161
1025	47522	45113
1026	47566	45065
1027	47614	45020
1028	47656	44970
1029	47699	44920
1030	47742	44871
1031	47785	44821
1032	47828	44772
1033	47872	44724
1034	47915	44674
1035	47962	44629
1036	48009	44583
1037	48060	44541
1038	48107	44496
1039	48148	44444
1040	48191	44395
1041	48233	44345
1042	48276	44296
1043	48320	44247
1044	48366	44200
1045	48408	44150
1046	48455	44105
1047	48499	44056
1048	48542	44007
1049	48590	43963
1050	48635	43915
1051	48677	43865
1052	48719	43815
1053	48766	43769
1054	48809	43720
1055	48852	43671
1056	48902	43628
1057	48945	43579
1058	48990	43531
1059	49034	43483
1060	49078	43435
1061	49122	43387
1062	49165	43338
1063	49215	43294
1064	49260	43247
1065	49303	43197
1066	49345	43148
1067	49394	43104
1068	49442	43059
1069	49484	43010
1070	49532	42964
1071	49580	42920
1072	49628	42875
1073	49671	42826
1074	49717	42779
1075	49760	42731
1076	49804	42683
1077	49851	42637
1078	49896	42590
1079	49945	42546
1080	49988	42497
1081	50035	42451
1082	50077	42401
1083	50123	42355
1084	50167	42306
1085	50211	42258
1086	50259	42214
1087	50306	42168
1088	50350	42120
1089	50398	42076
1090	50444	42029
1091	50487	41980
1092	50530	41931
1093	50579	41887
1094	50623	41839
1095	50667	41791
1096	50715	41746
1097	50764	41703
1098	50812	41658
1099	50856	41609
1100	50899	41561
1101	50944	41513
1102	50990	41467
1103	51041	41425
1104	51087	41378
1105	51132	41331
1106	51176	41283
1107	51219	41234
1108	51264	41187
1109	51310	41140
1110	51354	41092
1111	51401	41047
1112	51444	40998
1113	51490	40952
1114	51533	40903
1115	51577	40855
1116	51624	40809
1117	51668	40761
1118	51711	40713
1119	51755	40664
1120	51797	40615
1121	51850	40574
1122	51892	40525
1123	51937	40477
1124	51980	40429
1125	52026	40382
1126	52069	40334
1127	52118	40290
1128	52161	40241
1129	52204	40193
1130	52253	40148
1131	52297	40100
1132	52345	40056
1133	52393	40011
1134	52437	39963
1135	52485	39918
1136	52528	39869
1137	52571	39821
1138	52623	39779
1139	52673	39736
